created_at,campaign_var_1,campaign_var_2,products_purchased,signup_date,user_activity_var_1,user_activity_var_2,user_activity_var_3,user_activity_var_4,user_activity_var_5,user_activity_var_6,user_activity_var_7,user_activity_var_8,user_activity_var_9,user_activity_var_10,user_activity_var_11,user_activity_var_12,Revenue
1/1/2021,1,2,2,9/24/2020,0,0,0,0,0,0,1,1,0,0,0,0,150
1/1/2021,2,1,2,9/19/2020,1,0,1,0,0,0,1,0,0,0,0,0,66
1/1/2021,9,3,3,8/11/2021,1,0,0,0,0,0,0,0,0,0,0,0,324
1/1/2021,6,7,2,10/4/2017,0,0,0,0,0,0,0,0,0,0,0,0,294
1/1/2021,3,4,3,7/2/2019,0,0,0,0,0,1,0,0,0,0,0,0,283
1/1/2021,5,1,1,7/24/2019,0,0,0,0,0,0,0,0,0,0,0,0,279
1/1/2021,13,6,3,6/21/2018,0,0,0,0,1,0,0,0,0,0,0,0,202
1/1/2021,3,6,2,10/20/2021,0,0,0,0,0,1,0,0,0,0,1,0,280
1/1/2021,1,1,1,1/7/2019,0,0,1,0,1,0,0,0,0,0,0,0,190
1/1/2021,2,6,2,12/9/2019,0,0,0,0,0,0,0,0,0,0,1,0,320
1/1/2021,2,2,3,1/28/2017,1,0,0,0,1,0,0,0,0,0,0,0,116
1/1/2021,5,10,2,10/31/2020,1,0,0,0,1,1,0,0,0,0,0,0,289
1/1/2021,5,2,3,10/12/2017,0,0,0,0,0,0,1,1,0,0,0,0,270
1/2/2021,6,7,3,5/9/2021,0,0,0,0,0,0,1,0,0,0,0,0,407
1/2/2021,1,2,2,1/14/2020,0,0,0,0,0,0,1,0,0,0,0,0,277
1/2/2021,3,4,1,4/7/2021,1,0,0,0,0,0,0,0,0,0,0,0,214
1/2/2021,3,2,2,9/18/2019,1,0,0,0,1,0,0,0,0,0,1,0,262
1/2/2021,6,3,3,8/4/2020,0,0,0,0,0,0,1,0,0,0,0,0,221
1/2/2021,3,1,2,11/16/2020,1,0,0,0,0,2,0,0,0,0,0,0,84
1/2/2021,4,2,1,8/6/2020,1,0,0,0,0,1,0,0,0,0,0,0,339
1/2/2021,8,4,1,7/10/2019,0,0,0,0,0,1,0,0,0,0,0,0,53
1/2/2021,3,2,1,4/26/2020,0,0,0,0,0,1,0,1,0,0,0,0,299
1/2/2021,2,3,2,10/1/2021,0,0,0,0,0,1,0,0,0,0,0,0,394
1/2/2021,5,1,1,7/4/2020,2,0,0,0,0,0,1,1,0,0,0,0,230
1/2/2021,7,2,2,8/1/2020,0,0,0,0,0,0,1,1,0,0,0,0,292
1/2/2021,1,3,3,10/6/2019,1,0,1,0,1,1,0,1,0,0,0,0,387
1/2/2021,12,6,3,10/8/2019,1,0,0,0,0,0,1,0,0,0,0,0,145
1/2/2021,3,3,3,6/19/2017,0,0,0,0,0,1,1,0,0,0,1,0,314
1/2/2021,7,2,3,11/28/2018,0,0,0,0,0,0,1,0,0,0,0,0,301
1/2/2021,3,3,1,5/8/2018,1,0,0,0,0,0,1,0,0,0,1,0,100
1/2/2021,3,3,2,11/26/2020,1,0,0,0,1,1,0,0,0,0,1,0,165
1/2/2021,5,8,2,6/7/2020,1,0,0,0,0,0,0,0,0,0,0,0,386
1/2/2021,3,4,1,7/9/2019,1,0,0,0,1,0,0,1,0,0,0,0,359
1/2/2021,3,6,2,12/5/2019,1,0,1,0,0,1,0,0,0,0,0,0,143
1/3/2021,5,6,3,10/18/2019,0,0,0,0,0,1,0,0,0,0,0,0,102
1/3/2021,2,5,1,6/16/2019,0,0,0,0,0,1,1,0,0,0,0,0,106
1/3/2021,1,5,1,7/19/2021,0,0,0,0,0,1,0,0,0,0,0,0,61
1/3/2021,5,9,2,6/23/2021,0,0,0,0,1,1,1,0,0,0,0,0,290
1/3/2021,3,3,1,7/18/2018,0,0,1,0,0,0,1,0,0,0,1,0,266
1/3/2021,6,6,3,4/21/2018,0,0,0,0,0,1,0,0,0,0,0,0,389
1/3/2021,12,7,1,8/15/2021,0,0,0,0,0,1,0,0,0,0,0,0,406
1/3/2021,5,2,2,6/26/2021,0,0,0,0,0,1,0,1,0,0,0,0,396
1/3/2021,6,8,3,6/30/2018,0,0,0,0,0,1,0,1,0,0,0,0,360
1/3/2021,2,5,2,10/10/2019,0,0,0,0,0,1,1,0,0,0,0,0,342
1/3/2021,10,5,1,2/13/2022,0,0,0,0,0,1,1,0,0,0,0,0,375
1/3/2021,7,6,1,7/10/2018,0,0,0,0,1,1,0,0,0,0,1,0,150
